"法人の名称フリガナ","法人の名称","法人区分","行政庁","郵便番号","都道府県","主たる事務所の住所","代表電話番号","代表者の氏名","ホームページアドレス","事業年度","事業の種類","事業の概要","税額控除に係る証明","有効期間"
"コウエキザイダンホウジンハットリコウエキザイダン","公益財団法人服部公益財団","公益財団法人","愛知県","444-0813","愛知県","岡崎市羽根町字若宮３０番地","0564-54-2401","服部　良男","http://www.hattori.org/","0401～0331","勤労意欲のある者に対する就労の支援を目的とする事業
勤労者の福祉の向上を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業
地域社会の健全な発展を目的とする事業","広く地域住民を対象に文化、健康づくり、技芸、スポーツ等の教育を行う事業及び技能実習生を含む外国人の就労支援事業を中心に、不動産賃貸、および地域の青少年の勉学、努力に対する表彰等の事業を行う。","なし",""
"コウエキシャダンホウジンゼンコクビョウインリガクリョウホウキョウカイ","公益社団法人全国病院理学療法協会","公益社団法人","内閣府","141-0032","東京都","品川区大崎３丁目６番２１号","03-3494-1948","平野　五十男","http://nhpta.net/newpage1.htm","0401～0331","学術及び科学技術の振興を目的とする事業
勤労者の福祉の向上を目的とする事業","理学療法に関する学術と技術の振興を目的として、全国のリハビリテーション・機能訓練・理学療法従事者に対し日本理学療法学会や理学療法に関する各種講習会の開催及び学術誌の発行を行っている。","なし",""
"コウエキシャダンホウジンニホンマレーシアキョウカイ","公益社団法人日本マレーシア協会","公益社団法人","内閣府","102-0093","東京都","千代田区平河町１丁目１番１号","03-3263-0048","小川孝一","http://www.jma-wawasan.com","0401～0331","教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業
地球環境の保全又は自然環境の保護及び整備を目的とする事業","本法人は、日本とマレーシアとの親善交流、文化交流及び経済活動を通し、両国間の相互理解に努めるとともに、熱帯雨林の再生活動を通じて自然保護及び整備に寄与することを目的とする。","あり","2023-03-22～2028-03-21"
"コウエキシャダンホウジンハツメイキョウカイ","公益社団法人発明協会","公益社団法人","内閣府","105-0001","東京都","港区虎ノ門二丁目９番１号虎ノ門ヒルズ江戸見坂テラス","03-3502-5421","内山田　竹志","https://koueki.jiii.or.jp","0401～0331","学術及び科学技術の振興を目的とする事業
児童又は青少年の健全な育成を目的とする事業
男女共同参画社会の形成その他のより良い社会の形成の推進を目的とする事業","発明の奨励、青少年等の創造性開発育成、知的財産権制度の普及啓発等","あり","2023-03-27～2028-03-26"
"コウエキシャダンホウジントウキョウトタキノガワシカイシカイ","公益社団法人東京都滝野川歯科医師会","公益社団法人","東京都","114-0024","東京都","北区西ケ原２丁目４１番１１号","03-3918-8060","鈴木　守","http://www.takishi.jp/","0401～0331","学術及び科学技術の振興を目的とする事業
障害者若しくは生活困窮者又は事故、災害若しくは犯罪による被害者の支援を目的とする事業
高齢者の福祉の増進を目的とする事業
公衆衛生の向上を目的とする事業","歯科医学・医術の進歩発展、公衆衛生及び歯科保健の啓発と普及向上を図り、地域住民の保健と福祉の増進及び一般歯科診療所で診療が困難な方々の歯科診療を通じて、地域社会の健全な発展に寄与する事業。","なし",""
"コウエキザイダンホウジンイヨミシマショウガクカイ","公益財団法人伊予三島奨学会","公益財団法人","愛媛県","799-0404","愛媛県","四国中央市三島宮川４丁目６番５５号","0896-28-6044","井川　高幸","http://mishima.shikokuchuo.or.jp/","0401～0331","学術及び科学技術の振興を目的とする事業
児童又は青少年の健全な育成を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業","愛媛県出身の子弟のうち、学業優秀、品行方正な学生生徒で、経済的理由により修学困難な者に対し奨学資金を貸与することにより、社会有用な人材を育成することを目的とする事業を行う。","なし",""
"コウエキザイダンホウジン　フカオリコウキョウイクシンコウザイダン","公益財団法人深尾理工教育振興財団","公益財団法人","滋賀県","525-0059","滋賀県","草津市野路１丁目１２番１１－５０７号","077-516-0830","杉江　弘行","","0401～0331","学術及び科学技術の振興を目的とする事業","理工系の技術を担う若者を育成するために、滋賀県内の小学校、中学校、高等学校の学生を対象に助成を行う。また、理工系の技術を体験することが出来るイベントに対し助成を行う。","なし",""
"テイオンコウガク・チョウデンドウガッカイ","公益社団法人低温工学・超電導学会","公益社団法人","内閣府","113-0033","東京都","文京区本郷６丁目１２番８号パレドール本郷３０２号","03-3818-4539","秋田　調","https://www.csj.or.jp/index.html","0401～0331","学術及び科学技術の振興を目的とする事業","低温工学と超電導工学を応用する科学技術に関する学術講演会、研究会、講習会等の開始、調査研究およびその成果を公表する学会誌、及び刊行物の発行、低温工学と超電導工学を応用する科学技術に関して顕著な功績を挙げた者の褒賞等を行う。","なし",""
"コウエキザイダンホウジンアダチデントウモクハンガギジュツホゾンザイダン","公益財団法人アダチ伝統木版画技術保存財団","公益財団法人","内閣府","161-0033","東京都","新宿区下落合３丁目１３番１７号","03-3951-1267","安達　以乍牟","http://www.adachi-hanga.com/foundation/index.cgi","0401～0331","文化及び芸術の振興を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業","伝統木版画の制作技術を保存・伝承するため、伝統木版画の制作技術に係る調査研究等の奨励及び後継者の育成事業の支援等を行うとともに、資料の収集及び公開等を通じて伝統木版画の一般への普及を図る。","なし",""
"コウエキザイダンホウジントットリケンサンギョウシンコウキコウ","公益財団法人鳥取県産業振興機構","公益財団法人","鳥取県","689-1112","鳥取県","鳥取市若葉台南７丁目５番１号","0857-52-3011","岡村　整諮","https://www.toriton.or.jp/","0401～0331","学術及び科学技術の振興を目的とする事業
公正かつ自由な経済活動の機会の確保及び促進並びにその活性化による国民生活の安定向上を目的とする事業","県内中小企業等の経営基盤の強化、技術及び経営の革新、人材の育成及び産学金官の連携促進等を支援することにより、県内における新たな産業の創出を推進するとともに、地域経済の活性化を図り、もって鳥取県の産業の発展に寄与することを目的とする。","なし",""
"コウエキザイダンホウジンウラカミショウガクカイ","公益財団法人浦上奨学会","公益財団法人","内閣府","726-0033","広島県","府中市目崎町７６２番地","0847-41-1140","浦上　浩","https://www.urakami-shougakukai.or.jp/","0401～0331","学術及び科学技術の振興を目的とする事業
児童又は青少年の健全な育成を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業","日本人学生や海外からの留学生に対する奨学事業、学術研究の助成事業、図書など教育関係物品の寄贈などを行っている。","なし",""
"コウエキシャダンホウジンリョクキュウカイ","公益社団法人緑丘会","公益社団法人","内閣府","170-6057","東京都","豊島区東池袋３丁目１番１号","03-3981-2340","三浦　和哉","http://ryokkyu.or.jp/","0401～0331","学術及び科学技術の振興を目的とする事業
勤労意欲のある者に対する就労の支援を目的とする事業
児童又は青少年の健全な育成を目的とする事業
国政の健全な運営の確保に資することを目的とする事業","国立大学法人北海道国立大学機構小樽商科大学の行うキャリア開発教育に対する支援及び関連事業の運営支援、並びに就職支援事業の企画・運営、資金支援等を通じて、青年産業人材の健全な育成に寄与すること。","あり","2022-11-28～2027-12-04"
"コウエキザイダンホウジンスズカコクサイコウリュウキョウカイ","公益財団法人鈴鹿国際交流協会","公益財団法人","三重県","513-0802","三重県","鈴鹿市飯野寺家町810番地","059-383-0724","後藤　光雄","http://www.sifa.suzuka.mie.jp","0401～0331","男女共同参画社会の形成その他のより良い社会の形成の推進を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業
地域社会の健全な発展を目的とする事業","地域レベルでの国際交流の促進・国際理解、多文化共生の推進及びこれらを推進するための人材の育成及び市民活動等に関する事業","なし",""
"コウエキシャダンホウジンゼンコクカイタイコウジギョウダンタイレンゴウカイ","公益社団法人全国解体工事業団体連合会","公益社団法人","内閣府","103-0027","東京都","中央区日本橋三丁目１４番５号祥ビル５階","03-6262-0321","井上　尚","https://www.zenkaikouren.or.jp/","0401～0331","学術及び科学技術の振興を目的とする事業
事故又は災害の防止を目的とする事業
地球環境の保全又は自然環境の保護及び整備を目的とする事業
一般消費者の利益の擁護又は増進を目的とする事業","適正な解体工事の施工、解体工事から発生する廃棄物の適正な処理等に関する調査研究及び人材育成等","なし",""
"コウエキザイダンホウジンキハラキネンヨコハマセイメイカガクシンコウザイダン","公益財団法人木原記念横浜生命科学振興財団","公益財団法人","神奈川県","230-0045","神奈川県","横浜市鶴見区末広町１丁目６番地","045-502-4810","松尾　泰樹","https://kihara.or.jp","0401～0331","学術及び科学技術の振興を目的とする事業
公正かつ自由な経済活動の機会の確保及び促進並びにその活性化による国民生活の安定向上を目的とする事業","学術交流・奨励を行い生命科学研究の重要性を伝えるとともに、生命科学における大学や研究機関と産業界等との共同研究を組織化し、及び自ら共同研究に参画することをもって、生命科学の振興と産業の活性化に寄与する","なし",""
"コウエキシャダンホウジン　オオサカギジュツシンコウキョウカイ","公益社団法人大阪技術振興協会","公益社団法人","内閣府","550-0004","大阪府","大阪市西区靱本町１丁目８番４号大阪科学技術センタービル５０４号室","06-6444-4798","吉田　邦晃","http://www.otpea.or.jp","0401～0331","地球環境の保全又は自然環境の保護及び整備を目的とする事業","科学技術の振興にかかる産業及び地域社会の健全な発展を図るため、主に地方公共団体が行う公共工事の工事監査・検査を通して公共事業への技術支援、及び技術者教育・研修など技術士等の育成を行う事業","なし",""
"コウエキザイダンホウジンユクウアツキキギジュツシンコウザイダン","公益財団法人油空圧機器技術振興財団","公益財団法人","内閣府","533-0002","大阪府","大阪市東淀川区北江口１丁目１番１号","06-6340-5885","棚橋　祐治","http://zaidan.taiyo-ltd.co.jp","0401～0331","学術及び科学技術の振興を目的とする事業","１億８千万円の基金で創設された財団であり、毎年、基金の果実と寄付金を財源に、油空圧に関連した研究に対して、研究助成金交付、優れた論文の顕彰を行っている。","なし",""
"コウエキザイダンホウジンシンタイキョウイクイガクケンキュウジョ","公益財団法人身体教育医学研究所","公益財団法人","長野県","389-0402","長野県","東御市布下６番地１","0268-61-6148","田丸　基廣","http://pedam.org/","0401～0331","学術及び科学技術の振興を目的とする事業
公衆衛生の向上を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
地域社会の健全な発展を目的とする事業","従来の保健・医療・福祉・介護・教育・スポーツ等の諸分野を総合させた調査研究・分析評価・教育啓発活動を行い、「からだを育む」ことを通した全ての人々の健康づくりと公共政策づくりに寄与する","なし",""
"イシカワケンジュウドウセイフクシカイ","公益社団法人石川県柔道整復師会","公益社団法人","石川県","920-0031","石川県","金沢市広岡２丁目３番２６号","076-233-2122","二ッ谷　剛彦","http://jyuusei-ishikawa.jp/","0401～0331","学術及び科学技術の振興を目的とする事業
障害者若しくは生活困窮者又は事故、災害若しくは犯罪による被害者の支援を目的とする事業
高齢者の福祉の増進を目的とする事業
公衆衛生の向上を目的とする事業
児童又は青少年の健全な育成を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業","柔道接骨術の医学的研究、柔道整復師の資質の向上に関する事業。県民の健康、福祉の増進に寄与する事業。医療保険制度達成に関する事業。","なし",""
"コウエキザイダンホウジン　コクサイコウワンキョウカイキョウリョクザイダン","公益財団法人国際港湾協会協力財団","公益財団法人","内閣府","105-0022","東京都","港区海岸１丁目１６番１号ニューピア竹芝サウスタワー７階","03-5043-2770","大脇　崇","http://www.kokusaikouwan.jp","0101～1231","学術及び科学技術の振興を目的とする事業
犯罪の防止又は治安の維持を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業
地球環境の保全又は自然環境の保護及び整備を目的とする事業
公正かつ自由な経済活動の機会の確保及び促進並びにその活性化による国民生活の安定向上を目的とする事業","国際的な港湾の振興及び国際親善の増進に寄与することを目的とし、国際港湾協会本部事務局に協力するとともに外国及び我が国の港湾事情の紹介、調査協力等を行っている。","なし",""
"コウエキシャダンホウジンミタカイシカイ","公益社団法人三鷹市医師会","公益社団法人","東京都","181-0014","東京都","三鷹市野崎１丁目７番２３号","0422-47-2155","内原　正勝","www.mitaka.tokyo.med.or.jp","0401～0331","学術及び科学技術の振興を目的とする事業
公衆衛生の向上を目的とする事業
地域社会の健全な発展を目的とする事業","医道を昂揚し、医学、医術の発展普及と公衆衛生の推進を図るとともに、地域社会の福祉の向上に寄与することを目的とする。","なし",""
"コウエキシャダンホウジンヤマナシキンロウシャイリョウキョウカイ","公益社団法人山梨勤労者医療協会","公益社団法人","山梨県","400-0034","山梨県","甲府市宝１丁目９番１号","055-222-6616","理事長　深沢眞吾","http://www.yamanashi-min.jp/kinikyou/","0401～0331","学術及び科学技術の振興を目的とする事業
障害者若しくは生活困窮者又は事故、災害若しくは犯罪による被害者の支援を目的とする事業
高齢者の福祉の増進を目的とする事業
公衆衛生の向上を目的とする事業
人種、性別その他の事由による不当な差別又は偏見の防止及び根絶を目的とする事業
地域社会の健全な発展を目的とする事業","公益社団法人山梨勤労者医療協会_kana","あり","2024-11-05～2029-11-04"
"コウエキザイダンホウジンサガミワンスイサンシンコウジギョウダン","公益財団法人相模湾水産振興事業団","公益財団法人","神奈川県","250-0021","神奈川県","小田原市早川１丁目１０番地１","0465-22-5989","武井　正","","0401～0331","学術及び科学技術の振興を目的とする事業
地球環境の保全又は自然環境の保護及び整備を目的とする事業
国土の利用、整備又は保全を目的とする事業
国民生活に不可欠な物資、エネルギー等の安定供給の確保を目的とする事業","相模湾の動植物資源及び漁場環境の調査研究、水産動物の種苗放流事業並びに漁業経営の安定対策事業等を行い、相模湾の漁場環境の保全と水産業の振興を図り、併せて県民生活の向上に寄与する。","なし",""
"コウエキザイダンホウジンヒガシヒロシマシキョウイクブンカシンコウジギョウダン","公益財団法人東広島市教育文化振興事業団","公益財団法人","広島県","739-0043","広島県","東広島市西条西本町２８番６号","082-424-3811","市場　一也","https://hhface.org/hhface/","0401～0331","文化及び芸術の振興を目的とする事業
高齢者の福祉の増進を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業
地域社会の健全な発展を目的とする事業","　心豊かで潤いと活力に満ちた市民生活の向上に寄与することを目標に、東広島市における教育、文化、芸術の振興及びスポーツの振興に関する事業","なし",""
"コウエキザイダンホウジンダノンケンコウエイヨウザイダン","公益財団法人ダノン健康栄養財団","公益財団法人","内閣府","153-0051","東京都","目黒区上目黒２丁目１番１号","03-6890-9490","大内　尉義","http://www.danone-institute.or.jp/","0101～1231","学術及び科学技術の振興を目的とする事業
児童又は青少年の健全な育成を目的とする事業","日本における健康と栄養の普及活動。優秀な研究に対する助成、管理栄養士等対象に最新の
科学的知識・情報の提供、一般の方々、特に子どもにもわかりやすいように、栄養と健康の基本
的知識や情報の提供を行う。","なし",""
"コウエキザイダンホウジンタイガーイクエイカイ","公益財団法人タイガー育英会","公益財団法人","大阪府","571-0039","大阪府","門真市速見町３番１号","06-6906-2137","菊池　嘉聡","","0401～0331","学術及び科学技術の振興を目的とする事業","学生に対する奨学金の給付","なし",""
"コウエキザイダンホウジンサカタキネンジャーナリズムシンコウザイダン","公益財団法人坂田記念ジャーナリズム振興財団","公益財団法人","内閣府","530-8251","大阪府","大阪市北区梅田３丁目４番５号毎日新聞大阪本社内","06-6346-8364","赤木　攻","http://www.koekizaidan-sakatakinen.jp","0401～0331","文化及び芸術の振興を目的とする事業
思想及び良心の自由、信教の自由又は表現の自由の尊重又は擁護を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業","報道活動に功績のある者を顕彰すること及び国内外の報道関係者の育成","なし",""
"コウエキシャダンホウジンカガワケンカンゴキョウカイ","公益社団法人香川県看護協会","公益社団法人","香川県","769-0102","香川県","高松市国分寺町国分１５２番地４","087-864-9070","冨山　清江","https://kagawa-kango.com","0401～0331","学術及び科学技術の振興を目的とする事業
障害者若しくは生活困窮者又は事故、災害若しくは犯罪による被害者の支援を目的とする事業
高齢者の福祉の増進を目的とする事業
勤労意欲のある者に対する就労の支援を目的とする事業
公衆衛生の向上を目的とする事業
児童又は青少年の健全な育成を目的とする事業
勤労者の福祉の向上を目的とする事業
事故又は災害の防止を目的とする事業
人種、性別その他の事由による不当な差別又は偏見の防止及び根絶を目的とする事業
男女共同参画社会の形成その他のより良い社会の形成の推進を目的とする事業
地域社会の健全な発展を目的とする事業","人々の健康と福祉の増進
　内容は、看護職の知識・技術向上のための専門教育、看護職の働き続けられる職場環境改善
　や就業支援、看護業務や制度改善に向けた提言、地域ケアサービス（看護・介護支援や健康
　相談）等","なし",""
"コウエキザイダンホウジンニッチュウイガクキョウカイ","公益財団法人日中医学協会","公益財団法人","内閣府","101-0032","東京都","千代田区岩本町１丁目４番３号住泉ＫＭビル","03-5829-9123","跡見　裕","https://www.jpcnma.or.jp","0401～0331","学術及び科学技術の振興を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業","日中両国の医学、歯学、薬学、看護学、介護並びにその他保健医療領域における交流事業を通じ、日中両国及び日中両国を中心としたアジア地域の保健医療の普及及び向上に寄与する事業","あり","2023-11-06～2028-11-05"
"コウエキザイダンホウジンバジブンカザイダン","公益財団法人馬事文化財団","公益財団法人","内閣府","231-0853","神奈川県","横浜市中区根岸台１番地３","045-662-7581","福田 正二","http://www.bajibunka.or.jp/","0101～1231","学術及び科学技術の振興を目的とする事業
文化及び芸術の振興を目的とする事業","馬事博物資料の収集、保管、展示等のほか、馬文化に関する普及、教育等、馬の文化に関する知識の普及を図る事業を行う。","なし",""
"コウエキシャダンホウジンカゴシマケンシンリョウホウシャセンギシカイ","公益社団法人鹿児島県診療放射線技師会","公益社団法人","鹿児島県","892-0861","鹿児島県","鹿児島市東坂元4丁目28番11号","099-248-0028","太田原　美郎","https://www.kagoshima-rt.or.jp","0401～0331","学術及び科学技術の振興を目的とする事業
公衆衛生の向上を目的とする事業
事故又は災害の防止を目的とする事業","鹿児島県における診療放射線技師の職業倫理の高揚や資質の向上、および地域医療の振興と県民の健康増進","なし",""
"コウエキザイダンホウジン　クマガイカガクギジュツシンコウザイダン","公益財団法人熊谷科学技術振興財団","公益財団法人","内閣府","162-0824","東京都","新宿区揚場町２番１２号セントラルコーポラス６０４号","03-5228-3621","熊谷　香太郎","http://www.kumagai-fst.jp/","0401～0331","学術及び科学技術の振興を目的とする事業","基礎的研究を中心とした科学技術に関する研究を行うものに対する助成","なし",""
"コウエキザイダンホウジンカネハライチロウキネンイガクイリョウシンコウザイダン","公益財団法人金原一郎記念医学医療振興財団","公益財団法人","内閣府","113-0033","東京都","文京区本郷１丁目２８番２４号","03-3815-7801","澁谷正史","http://www.kanehara-zaidan.or.jp","0401～0331","学術及び科学技術の振興を目的とする事業","人類の健康増進を図ることを使命とし，主として基礎的な医学医療に関する分野において研究助成，研究交流助成，その他の研究に関する事業を行い，もって医学医療の振興に寄与すること。","あり","2023-08-07～2028-08-03"
"コウエキザイダンホウジンカガクギジュツユウゴウシンコウザイダン","公益財団法人科学技術融合振興財団","公益財団法人","内閣府","223-0062","神奈川県","横浜市港北区日吉本町１丁目４番２４号","045-562-5432","襟川　陽一","http://www.fost.or.jp/","0401～0331","学術及び科学技術の振興を目的とする事業","1.助成事業：科学技術の融合等に関する研究・関連学会・研究会・国際交流等に対する助成。　2.普及啓発事業：優秀研究者の表彰。　3.調査事業：科学技術の融合等に関する調査事業。","なし",""
"コウエキザイダンホウジンコリア　グローバル　アカデミー　ヨコハマ","公益財団法人ＫＯＲＥＡ　ＧＬＯＢＡＬ　ＡＣＡＤＥＭＹ　ＹＯＫＯＨＡＭＡ","公益財団法人","神奈川県","235-0016","神奈川県","横浜市磯子区磯子３丁目１０番２８号","045-753-2021","金時鐘","http://www.kkec.jp","0101～1231","学術及び科学技術の振興を目的とする事業
文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業","韓国語及び韓国文化を普及紹介するための講座、セミナー等の開催のほか、施設貸与事業や各種親睦、支援事業を行う。","なし",""
